fold,mae,mse,rmse,r2,training_time,inference_time
1.0,2.7926296118614022,66.67620551898571,8.165549921406745,0.9278441711998511,8407.573228597641,28.638322114944458
2.0,2.617395314492931,66.96134890980153,8.182991440164258,0.9275355939865702,8730.708624124527,28.88443398475647
3.0,3.3877529563908637,71.0165688404287,8.427132895619287,0.9231471055777933,7663.706090450287,27.586127519607544
4.0,2.301368467009125,54.675433842415586,7.394283862715549,0.9408311973784435,19000.206840991974,27.8427677154541
5.0,2.643968605898896,69.90626297109549,8.360996529786117,0.9243486592594976,7664.486550569534,28.005455255508423
mean,2.748622991130644,65.8471640165454,8.10619092993839,0.9287413454804312,10293.336266946793,28.1914213180542
std,0.3995727555692469,6.517961787029531,0.4135707677199268,0.007053624770187286,4889.614204529019,0.5482951239829074
sum,13.743114955653219,329.235820082727,40.53095464969195,4.643706727402156,51466.68133473396,140.957106590271
