fold,mae,mse,rmse,r2,training_time,inference_time
1.0,2.7979503332347586,71.94715957427474,8.482167150809676,0.9221400364869273,5673.362786054611,6.243722677230835
2.0,2.675233193260208,66.58127446076543,8.15973495039915,0.9279469039383362,4125.960323572159,6.125466823577881
3.0,2.7564318123425418,59.2019432686899,7.694279905792998,0.9359326876824844,4886.689115524292,5.89359188079834
4.0,2.6561468368355494,67.950300502929,8.243197225769197,0.9264653677898346,3466.0846683979034,6.1848061084747314
5.0,2.5267986511656177,58.991722414041355,7.6806069040175045,0.9361601850315038,3470.5602571964264,5.896180629730225
mean,2.682512165367735,64.93448004414009,8.051997227357704,0.9297290361858173,4324.531430149078,6.068753623962403
std,0.10462420525158171,5.682497804984908,0.3532362785090001,0.006149500193992899,954.0696228869732,0.16413547025269504
sum,13.412560826838675,324.6724002207004,40.25998613678852,4.648645180929086,21622.657150745392,30.34376811981201
