fold,mae,mse,rmse,r2,training_time,inference_time
1.0,6.266712198699072,176.069742950321,13.269127437413546,0.8092561122183949,111.68566179275513,0.16118478775024414
2.0,6.236739615579246,174.71532538028484,13.217992486769118,0.8107234107369218,95.268061876297,0.1471872329711914
3.0,6.221928534637173,175.03592263839636,13.230114233762169,0.8103760940066329,96.29803919792175,0.14251279830932617
4.0,6.238397515292318,175.86019954745612,13.261229186898781,0.8094831195545317,97.49120926856995,0.1416454315185547
5.0,7.551759474813134,197.2713869228575,14.04533327916634,0.7862874639377866,128.9687852859497,0.198350191116333
mean,6.503107467804187,179.79051548786316,13.40475932480199,0.8052252400908536,105.94235148429871,0.15817608833312988
std,0.5864380911856504,9.788208538678157,0.35871808568364283,0.010603985215173337,14.504975782332119,0.02378217303924605
sum,32.51553733902094,898.9525774393157,67.02379662400995,4.026126200454268,529.7117574214935,0.7908804416656494
