fold,mae,mse,rmse,r2,training_time,inference_time
1.0,11.315649218183736,310.55566670652127,17.622589670832188,0.6635617554293576,224.42706036567688,0.3451383113861084
2.0,11.312535981400863,310.7150274040982,17.62711058012907,0.6633891131655247,153.04631185531616,0.26072025299072266
3.0,11.289069089719874,309.73772275618114,17.599367112375976,0.6644478691162466,233.02426719665527,0.3421812057495117
4.0,11.351438166843371,313.724389060665,17.71226662685115,0.6601289428915418,125.91012525558472,0.20789027214050293
5.0,11.985725864693196,345.6886406507144,18.592703962864423,0.6255007011723746,222.2370297908783,0.3276033401489258
mean,11.450883664168208,318.084289315636,17.830807590610558,0.6554056763550091,191.72895889282228,0.2967066764831543
std,0.299815768269579,15.505324051003138,0.4280624695368623,0.016797581124636782,48.820274376925525,0.06031487431218691
sum,57.25441832084104,1590.42144657818,89.15403795305279,3.2770283817750454,958.6447944641113,1.4835333824157715
