fold,mae,mse,rmse,r2,training_time,inference_time
1.0,10.05703623624876,278.91250517386635,16.700673794008022,0.6978421465476825,710.6464264392853,1.3999619483947754
2.0,10.048380344852081,278.5988255694848,16.691279926041766,0.6981819690876314,743.4097573757172,1.4505784511566162
3.0,10.052893191582484,277.96512728156046,16.672286204404017,0.6988684815632777,726.7285826206207,1.4189121723175049
4.0,10.031529907673995,277.509964129639,16.658630319736343,0.6993615792853374,837.2524678707123,1.5399625301361084
5.0,10.556774786790657,302.6249005410704,17.396117398461946,0.6721534938287925,638.113870382309,1.3184082508087158
mean,10.149322893429595,283.1222645391242,16.823797528530417,0.6932815340625444,731.2302209377289,1.425564670562744
std,0.22797869719668562,10.91593291511881,0.3203538241889288,0.011825697295306664,71.59551319184544,0.08045932653269626
sum,50.74661446714798,1415.611322695621,84.11898764265209,3.466407670312722,3656.1511046886444,7.127823352813721
