fold,mae,mse,rmse,r2,training_time,inference_time
1.0,2.6473298513786654,58.600856330579624,7.655119615693776,0.9365831735021662,2405.669823884964,5.457783937454224
2.0,2.9156316280304266,59.83254304100859,7.735149839596424,0.9352502635874317,4318.152004480362,5.508750677108765
3.0,2.8926836306945485,67.82802610931502,8.235777201291631,0.9265976910098436,3485.6862823963165,6.906097173690796
4.0,2.5150017501917183,57.89889815374794,7.609132549361191,0.9373428204202547,3865.473193883896,5.882587194442749
5.0,2.683453179604964,60.0095997535022,7.746586329055025,0.9350586558956747,5452.584625005722,5.815288066864014
mean,2.7308200079800646,60.83398467763068,7.796353106999609,0.9341665208830742,3905.513185930252,5.914101409912109
std,0.170401665439584,4.0062671690705045,0.25214804334014285,0.00433551258247286,1117.0372389431286,0.5846682114991398
sum,13.654100039900323,304.1699233881534,38.98176553499805,4.670832604415371,19527.56592965126,29.570507049560547
