fold,mae,mse,rmse,r2,training_time,inference_time
1.0,2.4545839535681453,64.15400627575977,8.009619608680538,0.930573651310147,5171.1573650836945,5.839900970458984
2.0,2.7420718059896902,70.3719783760236,8.388800771029409,0.9238446701562483,2726.1989011764526,6.216221809387207
3.0,2.6609055948769536,67.10757855572126,8.191921542331889,0.9273773468095695,3263.54434132576,6.70144510269165
4.0,2.8248420896865567,73.87685227545427,8.595164470529594,0.920051756641075,2694.1467111110687,6.131922006607056
5.0,3.0490479931286663,81.78317611838334,9.043405117453455,0.9114956706249552,4535.608204841614,5.764139890670776
mean,2.7462902874500026,71.45871832026845,8.445782302004977,0.922668619108399,3678.131104707718,6.130725955963134
std,0.21807885071737113,6.8175149369199985,0.3991860897626033,0.007377795973869328,1119.2270527868206,0.3714821097281808
sum,13.731451437250012,357.29359160134226,42.228911510024886,4.613343095541995,18390.65552353859,30.653629779815674
