fold,mae,mse,rmse,r2,training_time,inference_time
1.0,2.5669565032771815,57.4166718166203,7.577378954270421,0.9378646773668801,3310.503965139389,7.634916067123413
2.0,2.657270006490353,48.65761592917339,6.975501123874427,0.9473435751557711,8436.459332942963,6.78146505355835
3.0,2.356682566244321,52.887598253973366,7.272386008317584,0.9427659619265807,4399.041830778122,9.492625713348389
4.0,2.5779258678868273,64.81131368261103,8.050547415089921,0.929862324677975,7552.77582192421,6.864283323287964
5.0,2.395350120375482,53.27876236577513,7.299230258443361,0.9423426509348373,6955.098121404648,7.34914755821228
mean,2.510837012854833,55.41039240963064,7.435008751999144,0.940035838012409,6130.775814437866,7.6244875431060795
std,0.12864072940184873,6.101450750239416,0.40471790689131415,0.006602883777503718,2177.7628239013848,1.1016417814134618
sum,12.554185064274165,277.0519620481532,37.17504375999572,4.700179190062045,30653.87907218933,38.122437715530396
