fold,mae,mse,rmse,r2,training_time,inference_time
1.0,2.7292249268422273,69.27322439532121,8.323053790245574,0.9250337225851911,3240.0652191638947,5.5422163009643555
2.0,2.6993535894888967,69.37635762767243,8.329247122499874,0.9249221135966589,2783.184047937393,5.674913644790649
3.0,2.9372092802550913,74.55036238337198,8.634255172472724,0.9193228957278929,3898.693834543228,5.262809753417969
4.0,2.8971739778434125,85.26075016986536,9.233674792295067,0.9077323005299499,2540.0574107170105,6.022537469863892
5.0,2.816074359003943,71.82281230658424,8.474834057760908,0.9222746029351738,3686.5421636104584,6.406315565109253
mean,2.8158072266867142,74.05670137656304,8.599012987054829,0.9198571270749734,3229.708535194397,5.781758546829224
std,0.10297696638939653,6.624800762422282,0.3769566039768716,0.00716924404932318,576.9203469527936,0.443325537751095
sum,14.07903613343357,370.2835068828152,42.995064935274144,4.599285635374867,16148.542675971985,28.908792734146118
