fold,mae,mse,rmse,r2,training_time,inference_time
1.0,2.5465798116718843,60.191992202106576,7.758349837568978,0.9348612739631923,5699.467273950577,6.781697034835815
2.0,2.362123381248418,51.502225657797325,7.1765051144548995,0.9442651880312461,3246.4148893356323,7.278706789016724
3.0,2.399169790616569,51.79053613639849,7.196564189694864,0.9439531834507018,4886.174493074417,6.427241325378418
4.0,2.5798076914450134,68.8693722354073,8.298757270544025,0.9254707643617064,3227.303253889084,6.325994968414307
5.0,2.504629274219336,61.47696923246599,7.840725045074977,0.9334706941919974,3392.026099205017,7.269372940063477
mean,2.4784619898402442,58.76621909283514,7.654180291467549,0.9364042207997688,4090.2772018909454,6.816602611541748
std,0.09409787506027345,7.2952116493267205,0.47400310988549527,0.007894751039481148,1136.5878129308471,0.4505712238848862
sum,12.392309949201222,293.8310954641757,38.27090145733774,4.682021103998844,20451.386009454727,34.08301305770874
