fold,mae,mse,rmse,r2,training_time,inference_time
1.0,5.827420406448154,169.940330432559,13.036116386123553,0.8158963671188921,101.30483174324036,0.1243124008178711
2.0,5.838696217376128,169.39380345068662,13.015137473368716,0.8164884431880286,108.52466821670532,0.12477517127990723
3.0,5.8289906763502914,169.76314801506493,13.029318785533837,0.8160883164146261,103.78534936904907,0.14085602760314941
4.0,5.839438830203291,168.7577297655736,12.990678572175266,0.8171775290331091,147.40638899803162,0.1657564640045166
5.0,7.308883373353857,193.20368006023168,13.899772662178028,0.7906941848674132,110.49929666519165,0.15900063514709473
mean,6.128685900746345,174.21173834482317,13.19420477587588,0.8112689681244138,114.3041069984436,0.14294013977050782
std,0.6597730830006233,10.626469755086962,0.39480798668036643,0.01151210946591115,18.863092184942893,0.01910383747818098
sum,30.643429503731724,871.0586917241159,65.9710238793794,4.056344840622069,571.520534992218,0.7147006988525391
