fold,mae,mse,rmse,r2,training_time,inference_time
1.0,8.32811685547275,203.11156834891912,14.251721592457493,0.7799605454571296,185.19719529151917,0.19955825805664062
2.0,8.317472265608888,204.07470695933262,14.28547188437724,0.778917136181098,159.1868302822113,0.1783754825592041
3.0,8.342189229915233,204.0673373578976,14.285213941621512,0.7789251199857289,186.47031021118164,0.20957088470458984
4.0,8.347741669561886,206.7069306069796,14.377306097005086,0.776065535652525,103.7295172214508,0.12190723419189453
5.0,8.612380520947177,214.2566316915646,14.637507700819993,0.7678866213636056,181.01147079467773,0.19445586204528809
mean,8.389580108301185,206.44343499293868,14.367444243256264,0.7763509917280175,163.11906476020812,0.18077354431152343
std,0.12511359499625488,4.568192213337976,0.15803840459336752,0.004948918129286956,34.98372310953984,0.03478631652689057
sum,41.94790054150593,1032.2171749646934,71.83722121628132,3.8817549586400872,815.5953238010406,0.9038677215576172
