fold,mae,mse,rmse,r2,training_time,inference_time
1.0,2.7105696538734527,71.59915372559497,8.46162831407732,0.9225166423576924,8564.819119215012,21.349334716796875
2.0,3.690436600839697,99.59433496017452,9.979696135663376,0.8922207446132373,7382.4753041267395,22.795517444610596
3.0,2.753228636673203,72.38010165851541,8.507649596599252,0.9216715141007523,9990.71845626831,24.475151538848877
4.0,2.662848756348957,67.61545658176925,8.222861824314528,0.9268277300517827,10055.26260471344,22.11535334587097
5.0,2.4713778217720845,57.698823222828004,7.5959741457451,0.9375593380272524,11804.536564826965,21.652825593948364
mean,2.8576922939014784,73.77757402977645,8.553562003279916,0.9201591938301436,9559.562409830094,22.477636528015136
std,0.4778136883584777,15.570015317449243,0.8761785533087124,0.016849599507303435,1673.3757539951291,1.2425519761624362
sum,14.288461469507393,368.8878701488822,42.76781001639958,4.600795969150718,47797.81204915047,112.38818264007568
